human_id,wikidata_id
Regulatory Logic of Pan-Neuronal Gene Expression in C. elegans.,Q35984619
Menagerie: A text-mining tool to support animal-human translation in neurodegeneration research,Q92043520
Automatic annotation of protein residues in published papers,Q91186622
Cell Types Promoting Goosebumps Form a Niche to Regulate Hair Follicle Stem Cells,Q97557008
"High-Dimensional Single-Cell Mapping of Central Nervous System Immune Cells Reveals Distinct Myeloid Subsets in Health, Aging, and Disease.",Q51760951
"High-Dimensional Single-Cell Mapping of Central Nervous System Immune Cells Reveals Distinct Myeloid Subsets in Health, Aging, and Disease.",Q50092192
"The Zebrafish Information Network: new support for non-coding genes, richer Gene Ontology annotations and the Alliance of Genome Resources",Q58587083
The Sequence Ontology: a tool for the unification of genome annotations,Q21092875
Parts of Animals,Q1180725
History of Animals,Q1620799
Perspectives on defining cell types in the brain,Q90361677
Tools and Concepts for Interrogating and Defining Cellular Identity,Q94585630
A method for increasing expressivity of Gene Ontology annotations using a compositional approach.,Q33690250
Funding knowledgebases: Towards a sustainable funding model for the UniProt use case.,Q47732789
A single-cell atlas of the airway epithelium reveals the CFTR-rich pulmonary ionocyte,Q57318689
"Measuring the quality of scientific references in Wikipedia: an analysis of more than 115M citations to over 800,000 scientific articles",Q100766127
Allergic inflammatory memory in human respiratory epithelial progenitor cells,Q59050242
Big data: Wikiomics,Q28292893
BioDash: a Semantic Web dashboard for drug development.,Q38402355
Bioinformatics Data Skills,Q105756183
Neuronal cell types and connectivity: lessons from the retina,Q27021497
Classifying Drosophila Olfactory Projection Neuron Subtypes by Single-Cell RNA Sequencing.,Q47391265
Relations in biomedical ontologies,Q19671539
"Ensembles, dynamics, and cell types: Revisiting the statistical mechanics perspective on cellular regulation",Q91316993
A Taxonomy of Part-Whole Relations,Q54248976
Determining Relative Dynamic Stability of Cell States Using Boolean Network Model,Q58787036
A guide to best practices for Gene Ontology (GO) manual annotation.,Q36997786
Cross-product extensions of the Gene Ontology.,Q34020884
KG-COVID-19: a framework to produce customized knowledge graphs for COVID-19 response,Q102043840
"Classification, Ontology, and Precision Medicine",Q57281359
Supervised clustering for single-cell analysis,Q90003298
Supervised classification enables rapid annotation of cell atlases,Q90003307
Probabilistic cell-type assignment of single-cell RNA-seq for tumor microenvironment profiling,Q90003401
Q392754: Criação de perfis académicos com Wikidata e Scholia – projecto-piloto,Q79377124
The emergence of Semantic Systems Biology.,Q38060960
RDFScape: Semantic Web meets systems biology.,Q33331997
The application of the open pharmacological concepts triple store (Open PHACTS) to support drug discovery research,Q19845588
Representing and querying disease networks using graph databases,Q26741378
Cell-type-based analysis of microRNA profiles in the mouse brain.,Q35725749
A flagellate-to-amoeboid switch in the closest living relatives of animals,Q105870433
A behind the scenes tour of the IEDB curation process: an optimized process empirically integrating automation and human curation efforts,Q96947357
Manual curation is not sufficient for annotation of genomic databases,Q34655326
"Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse",Q105870478
A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation,Q105870479
Capturing scientific knowledge in computable form,Q105969725
Text mining meets community curation: a newly designed curation platform to improve author experience and participation at WormBase,Q90415774
"Replacement of an Essentialistic Perspective on Taxonomic Definitions as Exemplified by the Definition of ""Mammalia""",Q105870481
Metabolic stability and epigenesis in randomly constructed genetic nets,Q28256189
Biodynamic ontology: applying BFO in the biomedical domain.,Q38520561
Tecnologias da web semântica para a recuperação da informação no wikidata,Q97090036
Q106114584,Q106114584
Biomedical articles share annotations with their citation neighbors,Q105870538
WikiUMLS: Aligning UMLS to Wikipedia via Cross-lingual Neural Ranking,Q105870539
ABDUCTIVE REASONING: A CONTRIBUTION TO KNOWLEDGE CREATION IN EDUCATION,Q105870540
Comunicação entre sistemas de informação médicos,Q106121070
Single-cell proteo-genomic reference maps of the hematopoietic system enable the purification and massive profiling of precisely defined cell states,Q106143534
DisGeNET-RDF: harnessing the innovative power of the Semantic Web to explore the genetic basis of diseases,Q57002691
The markup is the model: reasoning about systems biology models in the Semantic Web era,Q28259568
Automated cell-type classification in intact tissues by single-cell molecular profiling.,Q48262342
"Single-cell expression profiling reveals dynamic flux of cardiac stromal, vascular and immune cells in health and injury",Q64117530
SBOL-OWL: An Ontological Approach for Formal and Semantic Representation of Synthetic Biology Information,Q91791013
SynBioHub: A Standards-Enabled Design Repository for Synthetic Biology.,Q47566455
"Identification of an inhibitory neuron subtype, the L-stellate cell of the cochlear nucleus",Q101212121
Single cell transcriptional signatures of the human placenta in term and preterm parturition,Q83224730
"The SBOL Stack: A Platform for Storing, Publishing, and Sharing Synthetic Biology Designs.",Q36042745
The biocurator: connecting and enhancing scientific data,Q21092581
EKLF/KLF1 expression defines a unique macrophage subset during mouse erythropoiesis,Q106234628
Decoding human fetal liver haematopoiesis,Q90617724
Community annotation and bioinformatics workforce development in concert--Little Skate Genome Annotation Workshops and Jamborees.,Q30427789
BioCreative-IV virtual issue.,Q42584832
"Why data citation isn't working, and what to do about it",Q94522308
On expert curation and scalability: UniProtKB/Swiss-Prot as a case study.,Q47313936
Community next steps for making globally unique identifiers work for biocollections data,Q22676264
Q106248504,Q106248504
Single-cell transcriptomic evidence for dense intracortical neuropeptide networks,Q83226392
Painel de informação sobre a COVID-19: consultas SPARQL na Wikidata,Q106249454
FAIR and open multilingual clinical trials in Wikidata and Wikipedia,Q106235601
Introducing meta-services for biomedical information extraction,Q36920197
Improving Text Mining with Controlled Natural Language: A Case Study for Protein Interactions,Q57402195
An atlas of cell types in the mammalian epididymis and vas deferens,Q98166912
Spatiotemporal analysis of human intestinal development at single-cell resolution,Q104754414
On the role of knowledge graphs in explainable AI,Q98792615
The impact of focused Gene Ontology curation of specific mammalian systems,Q34102856
Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations,Q57804774
An overview of the intrathymic intricacies of T cell development,Q26862512
Use of Gene Ontology Annotation to understand the peroxisome proteome in humans,Q36543290
Editorial: biological ontologies and semantic biology,Q38435922
Semantic systems biology,Q57002913
Fate mapping analysis reveals a novel murine dermal migratory Langerhans-like cell population,Q106354969
Specification of diverse cell types during early neurogenesis of the mouse cerebellum,Q64261872
A cell atlas of human thymic development defines T cell repertoire formation,Q89808480
Single-cell transcriptomics of the mouse kidney reveals potential cellular targets of kidney disease.,Q52603808
"Molecular, spatial and functional single-cell profiling of the hypothalamic preoptic region",Q58577965
"Semantic Systems Biology: Formal Knowledge Representation in Systems Biology for Model Construction, Retrieval, Validation and Discovery",Q56915551
Querying biomedical Linked Data with natural language questions,Q105870677
Q106369750,Q106369750
A competency question-oriented approach for the transformation of semi-structured bioinformatics data into linked open data,Q105870679
Ontologies for the life sciences,Q105870680
Single-Cell Transcriptomics Reveals that Differentiation and Spatial Signatures Shape Epidermal and Hair Follicle Heterogeneity.,Q37314462
Distinct developmental pathways from blood monocytes generate human lung macrophage diversity,Q104684648
A single-cell survey of the small intestinal epithelium.,Q47564808
The Ontology for Parasite Lifecycle (OPL): towards a consistent vocabulary of lifecycle stages in parasitic organisms,Q36368053
A single-cell transcriptomic atlas characterizes ageing tissues in the mouse,Q97569253
On the Application of Formal Principles to Life Science Data: a Case Study in the Gene Ontology,Q105870682
Crowdsourcing biomedical research: leveraging communities as innovation engines,Q27887654
Textpresso: an ontology-based information retrieval and extraction system for biological literature,Q24793009
openSNP--a crowdsourced web resource for personal genomics,Q28657448
Much more than a mere technology: A systematic review of Wikidata in libraries,Q105429450
Open Natural Products Research: Curation and Dissemination of Biological Occurrences of Chemical Structures through Wikidata,Q105742243
Ten Simple Rules for Developing Public Biological Databases,Q28595967
Syntactic analyses and named entity recognition for PubMed and PubMed Central — up-to-the-minute,Q105870783
COVID-19 immune features revealed by a large-scale single-cell transcriptome atlas,Q106315467
The Human Cell Atlas.,Q46368626
Molecular Architecture of the Mouse Nervous System,Q58793343
"Two physically, functionally, and developmentally distinct peritoneal macrophage subsets.",Q33664675
BioBERT: a pre-trained biomedical language representation model for biomedical text mining,Q90006632
BioGPS: building your own mash-up of gene annotations and expression profiles.,Q29169145
Single-cell reconstruction of the early maternal–fetal interface in humans,Q59068540
High-performance web services for querying gene and variant annotation,Q27943213
Text mining resources for the life sciences.,Q28076577
Conserved cell types with divergent features in human versus mouse cortex,Q71306466
Systematic Comparison of High-throughput Single-Cell and Single-Nucleus Transcriptomes during Cardiomyocyte Differentiation,Q89454854
Distinct microbial and immune niches of the human colon,Q89748559
Cochlear hair cell regeneration after noise-induced hearing loss: Does regeneration follow development?,Q39062528
APICURON: a database to credit and acknowledge the work of biocurators,Q106486134
CIViC is a community knowledgebase for expert crowdsourcing the clinical interpretation of variants in cancer,Q29178984
Single cell dissection of plasma cell heterogeneity in symptomatic and asymptomatic myeloma,Q90318029
Single-Cell Transcriptomic Analysis of Human Lung Provides Insights into the Pathobiology of Pulmonary Fibrosis,Q90565414
Mining data and metadata from the gene expression omnibus,Q64119088
"Sharing biological data: why, when, and how",Q106498418
Resolving the fibrotic niche of human liver cirrhosis at single-cell level,Q90612750
SARS-CoV-2 receptor ACE2 and TMPRSS2 are primarily expressed in bronchial transient secretory cells,Q91561671
Nuclei multiplexing with barcoded antibodies for single-nucleus genomics,Q91564696
A human liver cell atlas reveals heterogeneity and epithelial progenitors,Q91776824
Pressing needs of biomedical text mining in biocuration and beyond: opportunities and challenges,Q36233671
Integrating text mining into the MGI biocuration workflow,Q33554526
Accelerating literature curation with text-mining tools: a case study of using PubTator to curate genes in PubMed abstracts.,Q34480402
Collaborative biocuration--text-mining development task for document prioritization for curation,Q36418100
Discovering biomedical semantic relations in PubMed queries for information retrieval and database curation,Q35970872
TeamTat: a collaborative text annotation tool,Q94561368
Automated assessment of biological database assertions using the scientific literature.,Q65002314
LitSense: making sense of biomedical literature at sentence level,Q90290716
Semi-automated ontology generation within OBO-Edit,Q28751720
Toward a Common Coordinate Framework for the Human Body,Q91960464
"scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation",Q92354852
Characterization of cell fate probabilities in single-cell data with Palantir,Q92539085
A single-cell transcriptome atlas of the adult human retina,Q92766837
A cellular census of human lungs identifies novel cell states in health and in asthma,Q92826478
The Confidence Information Ontology: a step towards a standard for asserting confidence in annotations,Q28647782
Knowledge engineering tools for reasoning with scientific observations and interpretations: a neural connectivity use case.,Q35221928
A functional map for diverse forelimb actions within brainstem circuitry,Q106534301
Cell-type-specific asynchronous modulation of PKA by dopamine in learning,Q106534414
In situ mapping identifies distinct vascular niches for myelopoiesis,Q106534530
Gut-licensed IFNγ NK cells drive LAMP1TRAIL anti-inflammatory astrocytes,Q106535191
SARS-CoV-2 entry factors are highly expressed in nasal epithelial cells together with innate immune genes,Q93196405
Systematic comparison of single-cell and single-nucleus RNA-sequencing methods,Q93270907
MyMiner: a web application for computer-assisted biocuration and text annotation.,Q47391302
GEOMetaCuration: a web-based application for accurate manual curation of Gene Expression Omnibus metadata.,Q55407135
Accelerating annotation of articles via automated approaches: evaluation of the neXtA5 curation-support tool by neXtProt,Q60302044
BioCreative III interactive task: an overview,Q34094645
Dissecting the multicellular ecosystem of metastatic melanoma by single-cell RNA-seq,Q37094024
Single-cell analysis reveals new evolutionary complexity in uveal melanoma,Q92932258
Biocuration workflows and text mining: overview of the BioCreative 2012 Workshop Track II,Q28711453
Wikipedia citations: A comprehensive data set of citations with identifiers extracted from English Wikipedia,Q106570089
"Why and how medical schools, peer-reviewed journals, and research funders should promote Wikipedia editing",Q90535817
Medical journals and Wikipedia: a global health matter.,Q27480279
A single-cell and single-nucleus RNA-Seq toolbox for fresh and frozen human tumors,Q94671894
SARS-CoV-2 Receptor ACE2 Is an Interferon-Stimulated Gene in Human Airway Epithelial Cells and Is Detected in Specific Cell Subsets across Tissues,Q94938805
An overview of the BioCreative 2012 Workshop Track III: interactive text mining task.,Q36761979
Overview of the interactive task in BioCreative V,Q30002351
MIFlowCyt: the minimum information about a Flow Cytometry Experiment,Q24644748
Promoting coherent minimum reporting guidelines for biological and biomedical investigations: the MIBBI project,Q29301289
Standardizing the standards,Q95815991
Cells and gene expression programs in the adult human heart,Q95602396
"Integrated analyses of single-cell atlases reveal age, gender, and smoking status associations with cell type-specific expression of mediators of SARS-CoV-2 viral entry and highlights inflammatory programs in putative target cells",Q95602580
Single-cell atlas of a non-human primate reveals new pathogenic mechanisms of COVID-19,Q95607654
Benchmarking single-cell RNA-sequencing protocols for cell atlas projects,Q96230190
A Single-cell Atlas of the Human Healthy Airways,Q98162195
BioCreative V BioC track overview: collaborative biocurator assistant task for BioGRID.,Q36121943
The BEL information extraction workflow (BELIEF): evaluation in the BioCreative V BEL and IAT track.,Q41265068
"STRING v11: protein–protein association networks with increased coverage, supporting functional discovery in genome-wide experimental datasets",Q60469724
Unsupervised word embeddings capture latent knowledge from materials science literature,Q91595456
Artificial intelligence in neurodegenerative disease research: use of IBM Watson to identify additional RNA-binding proteins altered in amyotrophic lateral sclerosis.,Q47406275
"The STRING database in 2021: customizable protein-protein networks, and functional characterization of user-uploaded gene/measurement sets",Q102383784
High throughput error corrected Nanopore single cell transcriptome sequencing,Q98394753
Myocyte Specific Upregulation of ACE2 in Cardiovascular Disease: Implications for SARS-CoV-2 Mediated Myocarditis,Q98468904
Crowdsourcing in biomedicine: challenges and opportunities,Q19857267
Crowdsourcing and curation: perspectives from biology and natural language processing,Q28598176
The Human and Mouse Enteric Nervous System at Single-Cell Resolution,Q98952972
The Human Cell Atlas and equity: lessons learned,Q100491106
SARS-CoV-2 receptor networks in diabetic and COVID-19 associated kidney disease,Q100513994
Wikidata and Libraries: Facilitating Open Knowledge,Q52235186
OpenTapioca: Lightweight Entity Linking for Wikidata,Q63278360
Single nucleus and in situ RNA sequencing reveals cell topographies in the human pancreas,Q102206138
Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn's Disease,Q104130336
The COVID-19 Ontology,Q104513823
How to describe a new fungal species,Q28730060
Uberon: towards a comprehensive multi-species anatomy ontology,Q57006348
"TELOCYTES - a case of serendipity: the winding way from Interstitial Cells of Cajal (ICC), via Interstitial Cajal-Like Cells (ICLC) to TELOCYTES.",Q42914236
Gramene 2021: harnessing the power of comparative genomics and pathways for plant research,Q101556384
From ArrayExpress to BioStudies,Q102205732
"Longitudinal Multi-omics Analyses Identify Responses of Megakaryocytes, Erythroid Cells, and Plasmablasts as Hallmarks of Severe COVID-19",Q104139713
The Organoid Cell Atlas: A Rosetta Stone for Biomedical Discovery and Regenerative Therapy,Q104450592
Tumor to normal single-cell mRNA comparisons reveal a pan-neuroblastoma cancer cell,Q106642644
The fasciacytes: A new cell devoted to fascial gliding regulation.,Q52724376
Openness and trust in data-intensive science: the case of biocuration,Q96307475
UniBioDicts: Unified access to biological dictionaries,Q104582202
IMGT<sup>®</sup> Biocuration and Comparative Analysis of <i>Bos taurus</i> and <i>Ovis aries</i> TRA/TRD Loci,Q104619923
Setting the basis of best practices and standards for curation and annotation of logical models in biology-highlights of the [BC]2 2019 CoLoMoTo/SysMod Workshop,Q92104055
"Pancreatic ductal cells in development, regeneration, and neoplasia",Q27006729
Creating a Metabolic Syndrome Research Resource using the National Health and Nutrition Examination Survey,Q104684400
Quality Matters: Biocuration Experts on the Impact of Duplication and Other Data Quality Issues in Biological Databases,Q97537095
Retinoic acid synthesis by a population of choroidal stromal cells,Q99604056
The Functionally Unannotated Proteome of Human Male Tissues: A Shared Resource to Uncover New Protein Functions Associated with Reproductive Biology,Q100676469
CARD 2020: antibiotic resistome surveillance with the comprehensive antibiotic resistance database,Q91006744
Integrating image caption information into biomedical document classification in support of biocuration,Q91956285
Single-cell RNA-seq analysis of human coronary arteries using an enhanced workflow reveals SMC transitions and candidate drug targets,Q106659158
Atheroprotective roles of smooth muscle cell phenotypic modulation and the TCF21 disease gene as revealed by single-cell analysis,Q92267490
Deciphering cell-cell interactions and communication from gene expression,Q101476452
"Besca, a single-cell transcriptomics analysis toolkit to accelerate translational research | bioRxiv",Q104450593
Plant Reactome: a knowledgebase and resource for comparative pathway analysis,Q91078214
Deep learning and alignment of spatially-resolved whole transcriptomes of single cells in the mouse brain with Tangram | bioRxiv,Q104450595
Delayed viral clearance and exacerbated airway hyperinflammation in hypertensive COVID-19 patients,Q104450596
Hypertension delays viral clearance and exacerbates airway hyperinflammation in patients with COVID-19,Q106686666
Using Reactome to build an autophagy mechanism knowledgebase,Q96120967
Involving community in genes and pathway curation,Q61447691
"Open data, open curation",Q56885165
A mechanosensitive peri-arteriolar niche for osteogenesis and lymphopoiesis,Q106692362
DUBStepR: correlation-based feature selection for clustering single-cell RNA sequencing data,Q104450599
Ten quick tips for biocuration,Q64071693
Interpretable Clinical Genomics with a Likelihood Ratio Paradigm,Q98208987
Building deep learning models for evidence classification from the open access biomedical literature,Q64084067
Aristóteles e o estudo dos seres vivos,Q106693249
"Applying citizen science to gene, drug and disease relationship extraction from biomedical abstracts",Q90025338
Consensus transcriptional regulatory networks of coronavirus-infected human cells,Q99608377
Worming into the Uncharacterized Human Proteome,Q90091195
IMGT® Biocuration and Comparative Study of the T Cell Receptor Beta Locus of Veterinary Species Based on Homo sapiens TRB,Q95293653
UPCLASS: a deep learning-based classifier for UniProtKB entry publications,Q94522302
Integrated single cell analysis of human lung fibrosis resolves cellular origins of predictive protein signatures in body fluids,Q104450603
Poised cell circuits in human skin are activated in disease,Q104450608
An autonomous debating system,Q106097217
Protein Data Bank: the single global archive for 3D macromolecular structure data,Q57793805
PubTator central: automated concept annotation for biomedical full text articles,Q92202965
Sampling artifacts in single-cell genomics cohort studies,Q104450612
Single cell profiling of immature human postnatal thymocytes resolves the complexity of intra-thymic lineage differentiation and thymus seeding precursors,Q104450621
Spatial and single-cell transcriptional landscape of human cerebellar development,Q104450624
The unipolar brush cell: a remarkable neuron finally receiving deserved attention,Q30471584
"The Terminologia Histologica after 10 years: Inconsistencies, mistakes, and new proposals",Q58049549
Towards a Terminologia Neuroanatomica.,Q36210969
Cell segmentation-free inference of cell types from in situ transcriptomics data,Q104450627
Deep generative model embedding of single-cell RNA-Seq profiles on hyperspheres and hyperbolic spaces,Q104450629
Q106777072,Q106777072
interacCircos: an R package based on JavaScript libraries for the generation of interactive circos plots,Q106777072
Q106777073,Q106777073
Q10677707,Q10677707
"Quickomics: exploring omics data in an intuitive, interactive and informative manner",Q106777073
PrInCE: an R/Bioconductor package for protein–protein interaction network inference from co-fractionation mass spectrometry data,Q106777074
IRIS-FGM: an integrative single-cell RNA-Seq interpretation system for functional gene module analysis,Q106777075
"Gene Tracer: A smart, interactive, voice-controlled Alexa skill for gene information retrieval and browsing, mutation annotation, and network visualization",Q106777076
Gene Teller: An Extensible Alexa Skill for Gene-Relevant Databases,Q98613961
Gene set inference from single-cell sequencing data using a hybrid of matrix factorization and variational autoencoders,Q104450631
Single cell transcriptome atlas of immune cells in human small intestine and in celiac disease,Q104450637
Terminologia Histologica 10 years on: some disputable terms in need of discussion and recent developments,Q92078001
Terminologia Histologica: International Terms for Human Cytology and Histology,Q106787216
The Human Cell Atlas White Paper,Q104450645
The cellular immune response to COVID-19 deciphered by single cell multi-omics across three UK centres,Q106272047
Machine Learning to Support the Presentation of Complex Pathway Graphs,Q93101366
Ten years of CAZypedia: a living encyclopedia of carbohydrate-active enzymes.,Q47639378
The local and systemic response to SARS-CoV-2 infection in children and adults,Q106272048
Mapping the musculoskeletal system one cell at a time,Q106272049
Modeling the pasture-associated severe equine asthma bronchoalveolar lavage fluid proteome identifies molecular events mediating neutrophilic airway inflammation,Q64072479
Biocuration: Distilling data into knowledge.,Q52586099
Future of Evidence Synthesis in Precision Oncology: Between Systematic Reviews and Biocuration,Q92594838
Robust clustering and interpretation of scRNA-seq data using reference component analysis,Q106272050
"Shotgun transcriptome, spatial omics, and isothermal profiling of SARS-CoV-2 infection reveals unique host responses, viral diversification, and drug interactions",Q106272052
Improved annotation of the insect vector of citrus greening disease: biocuration by a diverse genomics community,Q64075749
"RCSB Protein Data Bank: biological macromolecular structures enabling research and education in fundamental biology, biomedicine, biotechnology and energy",Q57793773
Systemic Tissue and Cellular Disruption from SARS-CoV-2 Infection revealed in COVID-19 Autopsies and Spatial Omics Tissue Maps,Q106272053
Science not art: statistically sound methods for identifying subsets in multi-dimensional flow and mass cytometry data sets.,Q47263573
"Karl Touton and his ""xanthelasmatic giant cell."" A selective review of multinucleated giant cells.",Q34164972
High-Precision Extraction of Emerging Concepts from Scientific Literature,Q106831968
RCSB Protein Data Bank tools for 3D structure-guided cancer research: human papillomavirus (HPV) case study,Q99557412
Systematic tissue annotations of –omics samples by modeling unstructured metadata,Q106833747
Large field of view-spatially resolved transcriptomics at nanoscale resolution,Q106648171
Putative cell type discovery from single-cell gene expression data,Q95328107
Worldwide Protein Data Bank biocuration supporting open access to high-quality 3D structural biology data.,Q50290407
"Applying Citizen Science to Gene, Drug, Disease Relationship Extraction from Biomedical Abstracts",Q63640419
Negative Knowledge for Open-world Wikidata,Q106630248
Wikidata and the Bibliography of Life,Q106727511
The Organoid Cell Atlas,Q106686809
The antral clear cell--a new cell type discovered in the pyloric-antral mucosa of the ferret,Q71273935
A resource to explore the discovery of rare diseases and their causative genes,Q106708178
"Community curation in PomBase: enabling fission yeast experts to provide detailed, standardized, sharable annotation from research publications",Q94470608
Single-cell RNA-seq analysis reveals the progression of human osteoarthritis,Q90348985
Cell-type-specific gene expression patterns in the knee cartilage in an osteoarthritis rat model.,Q49169602
Defining life: synthesis and conclusions.,Q47407732
Single-cell transcriptomic analysis of Alzheimer's disease,Q91668217
The single-cell transcriptional landscape of mammalian organogenesis,Q91763046
Is defining life pointless? Operational definitions at the frontiers of biology,Q106876268
Community-driven roadmap for integrated disease maps.,Q52311286
Collective intelligence defines biological functions in Wikipedia as communities in the hidden protein connection network,Q89759189
Functionally distinct NKT cell subsets and subtypes.,Q42972264
The neuropeptide NMU amplifies ILC2-driven allergic lung inflammation.,Q47095124
Moonlight: a tool for biological interpretation and driver genes discovery,Q62566491
Ontological Organization and Bioinformatic Analysis of Adverse Drug Reactions From Package Inserts: Development and Usability Study,Q97685936
Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids,Q89792286
The microbiota regulate neuronal function and fear extinction learning,Q90911578
Cell stress in cortical organoids impairs molecular subtype specification,Q93040438
Early emergence of cortical interneuron diversity in the mouse embryo.,Q50422244
CNSA: a data repository for archiving omics data,Q97683003
Improving the Gene Ontology Resource to Facilitate More Informative Analysis and Interpretation of Alzheimer’s Disease Data,Q59538811
Synthetic DNA and biosecurity: Nuances of predicting pathogenicity and the impetus for novel computational approaches for screening oligonucleotides,Q98223660
Gene Ontology Curation of Neuroinflammation Biology Improves the Interpretation of Alzheimer's Disease Gene Expression Data,Q94954393
Structure of the Pandemic,Q98209024
Exploring the Uncharacterized Human Proteome Using neXtProt,Q56815361
Defining the earliest step of cardiovascular lineage segregation by single-cell RNA-seq.,Q48163564
Microglia development follows a stepwise program to regulate brain homeostasis.,Q48659057
Ontologies for biologists: a community model for the annotation of genomic data.,Q30955349
Are the current ontologies in biology good ontologies?,Q38519864
Single-cell transcriptomics reveals bimodality in expression and splicing in immune cells,Q29617430
Single-cell transcriptomes of the regenerating intestine reveal a revival stem cell,Q90284294
Outlier analyses of the Protein Data Bank archive using a probability-density-ranking approach,Q59789431
Improving biocuration of microRNAs in diseases: a case study in idiopathic pulmonary fibrosis.,Q33787495
The cellular basis of distinct thirst modalities,Q100560052
Biocuration in the structure-function linkage database: the anatomy of a superfamily.,Q54898134
Clinical validity of expanded carrier screening: evaluating the gene-disease relationship in more than 200 conditions,Q94558276
An overview of the BIOASQ large-scale biomedical semantic indexing and question answering competition,Q28646342
A unifying concept: the history of cell theory,Q22122311
Single-cell transcriptomics reveals receptor transformations during olfactory neurogenesis.,Q34674303
"OneDep: Unified wwPDB System for Deposition, Biocuration, and Validation of Macromolecular Structures in the PDB Archive",Q28950350
Three-dimensional intact-tissue sequencing of single-cell transcriptional states,Q59753943
"Textpresso Central: a customizable platform for searching, text mining, viewing, and curating biomedical literature.",Q53838636
Developmental diversification of cortical inhibitory interneurons.,Q50420532
A single-cell RNA-seq survey of the developmental landscape of the human prefrontal cortex.,Q52655768
Cyberinfrastructure and resources to enable an integrative approach to studying forest trees,Q92358532
AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture,Q56655129
From Wikidata to Scholia: creating structured linked data to generate scholarly profiles,Q106987670
Validation of Structures in the Protein Data Bank.,Q46645138
PubMed Text Similarity Model and its application to curation efforts in the Conserved Domain Database,Q91566046
Deconstructing transcriptional heterogeneity in pluripotent stem cells,Q41730518
A single-cell molecular map of mouse gastrulation and early organogenesis,Q91763038
"A Comparison of Whole Genome Sequencing of SARS-CoV-2 Using Amplicon-Based Sequencing, Random Hexamers, and Bait Capture",Q98618031
Science Is Shaped by Wikipedia: Evidence from a Randomized Control Trial,Q42013239
Non-equivalence of Wnt and R-spondin ligands during Lgr5+ intestinal stem-cell self-renewal,Q42509225
"The Signaling Pathways Project, an integrated 'omics knowledgebase for mammalian cellular signaling pathways",Q91044884
A molecular single-cell lung atlas of lethal COVID-19,Q107128138
CD16 is indispensable for antibody-dependent cellular cytotoxicity by human monocytes,Q27341786
Tutorial: guidelines for annotating single-cell transcriptomic maps using automated and manual methods,Q107158224
Best Practices in Manual Annotation with the Gene Ontology.,Q38440697
Expanding the horizons of microRNA bioinformatics,Q58161139
"User-friendly, scalable tools and workflows for single-cell RNA-seq analysis",Q107158223
Single-Cell Sequencing of Peripheral Mononuclear Cells Reveals Distinct Immune Response Landscapes of COVID-19 and Influenza Patients,Q98388192
Hydroxychloroquine Inhibits the Trained Innate Immune Response to Interferons,Q104617060
Announcing mandatory submission of PDBx/mmCIF format files for crystallographic depositions to the Protein Data Bank (PDB),Q64111054
Mouse Genome Database (MGD): Knowledgebase for mouse-human comparative biology,Q102372282
Regenerative potential of prostate luminal cells revealed by single-cell analysis,Q94473592
Phenotypic variation of transcriptomic cell types in mouse motor cortex,Q102054102
Toward a conceptual framework for biology.,Q37797379
Wiki2Prop: A Multimodal Approach for Predicting Wikidata Properties from Wikipedia,Q107230303
High-affinity allergen-specific human antibodies cloned from single IgE B cell transcriptomes,Q60128972
"Single-cell RNA-seq reveals dynamic, random monoallelic gene expression in mammalian cells.",Q42774504
"ECO, the Evidence & Conclusion Ontology: community standard for evidence information",Q58587002
Computational strategies to combat COVID-19: useful tools to accelerate SARS-CoV-2 and coronavirus research,Q101222862
Systematic Analysis of Primary Sequence Domain Segments for the Discrimination Between Class C GPCR Subtypes.,Q49826285
RegulonDB v 10.5: tackling challenges to unify classic and high throughput knowledge of gene regulation in E. coli K-12,Q58611639
Drug repositioning for psychiatric and neurological disorders through a network medicine approach,Q94600062
Multi-label Deep Learning for Gene Function Annotation in Cancer Pathways.,Q47555736
Citizen Science for Mining the Biomedical Literature,Q56992710
Single-cell RNA-seq reveals dynamic paracrine control of cellular variation.,Q35185544
Characterization of a common progenitor pool of the epicardium and myocardium,Q104794656
Genetic and transcriptional evolution alters cancer cell line drug response,Q56550183
Single-cell RNA-seq supports a developmental hierarchy in human oligodendroglioma.,Q42774833
HPIDB 2.0: a curated database for host-pathogen interactions.,Q37060118
Big data - a 21st century science Maginot Line? No-boundary thinking: shifting from the big data paradigm.,Q30891300
No-boundary thinking in bioinformatics research.,Q37308031
A Knowledge Graph of Combined Drug Therapies Using Semantic Predications From Biomedical Literature: Algorithm Development,Q93337500
UniProt: a worldwide hub of protein knowledge,Q58611634
KnowLife: a versatile approach for constructing a large knowledge graph for biomedical sciences,Q28646868
HighLife: Higher-arity Fact Harvesting,Q52160105
Focused Query Expansion with Entity Cores for Patient-Centric Health Search,Q101086678
HER2 expression identifies dynamic functional states within circulating breast cancer cells.,Q37510512
Tracing haematopoietic stem cell formation at single-cell resolution.,Q38862522
